user_ID,City,Emergency,Department
LACity,"Los Angeles, CA",1,City Account
CityofSeattle,"Seattle, WA",1,City Account
DenverCityGov,"Denver, CO",1,City Account
nycgov,"New York, NY",1,City Account
chicago,"Chicago, IL",1,City Account
CityofSanDiego,"San Diego, CA",1,City Account
CityofSanJose,"San Jose, CA",1,City Account
austintexasgov,"Austin, TX",1,City Account
sfgov,"San Francisco, CA",1,City Account
CityOfBoston,"Boston, MA",1,City Account
PhiladelphiaGov,"Philadelphia, PA",0,City Account
HoustonTX,"Houston, TX",0,City Account
CityofPhoenixAZ,"Phoenix, AZ",0,City Account
COSAGOV,"San Antonio, TX",0,City Account
CityOfDallas,"Dallas, TX",0,City Account
CityofJax,"Jacksonville, FL",0,City Account
CityofFortWorth,"Fort Worth, TX",0,City Account
CLTgov,"Charlotte, NC",0,City Account
ColumbusGov,"Columbus, OH",0,City Account
Indy_CIO,"Indianapolis, IN",0,City Account
,"Los Angeles, CA",1,Environment/ Sustainability
SeattleOSE,"Seattle, WA",1,Environment/ Sustainability
SustainableDen,"Denver, CO",1,Environment/ Sustainability
,"New York, NY",1,Environment/ Sustainability
,"Chicago, IL",1,Environment/ Sustainability
,"San Diego, CA",1,Environment/ Sustainability
,"San Jose, CA",1,Environment/ Sustainability
,"Austin, TX",1,Environment/ Sustainability
SFEnvironment,"San Francisco, CA",1,Environment/ Sustainability
BostonEnviro,"Boston, MA",1,Environment/ Sustainability
GreenworksPhila,"Philadelphia, PA",0,Environment/ Sustainability
GreenHoustonTx,"Houston, TX",0,Environment/ Sustainability
phxenvironment,"Phoenix, AZ",0,Environment/ Sustainability
COSAsustainable,"San Antonio, TX",0,Environment/ Sustainability
DallasClimate,"Dallas, TX",0,Environment/ Sustainability
,"Jacksonville, FL",0,Environment/ Sustainability
,"Fort Worth, TX",0,Environment/ Sustainability
CLTSustainable,"Charlotte, NC",0,Environment/ Sustainability
SustainableCol1,"Columbus, OH",0,Environment/ Sustainability
SustainIndy,"Indianapolis, IN",0,Environment/ Sustainability
LADOTofficial,"Los Angeles, CA",1,Transpo
seattledot,"Seattle, WA",1,Transpo
DenverDOTI,"Denver, CO",1,Transpo
NYC_DOT,"New York, NY",1,Transpo
ChicagoDOT,"Chicago, IL",1,Transpo
,"San Diego, CA",1,Transpo
SanJoseDOT,"San Jose, CA",1,Transpo
austinmobility,"Austin, TX",1,Transpo
sfmta_muni,"San Francisco, CA",1,Transpo
BostonBTD,"Boston, MA",1,Transpo
PhillyOTIS,"Philadelphia, PA",0,Transpo
METROHouston,"Houston, TX",0,Transpo
StreetsPHX,"Phoenix, AZ",0,Transpo
,"San Antonio, TX",0,Transpo
,"Dallas, TX",0,Transpo
,"Jacksonville, FL",0,Transpo
,"Fort Worth, TX",0,Transpo
CharlotteDOT,"Charlotte, NC",0,Transpo
,"Columbus, OH",0,Transpo
,"Indianapolis, IN",0,Transpo
lacountyparks,"Los Angeles, CA",1,Parks & Rec
,"Seattle, WA",1,Parks & Rec
denverparksrec,"Denver, CO",1,Parks & Rec
NYCParks,"New York, NY",1,Parks & Rec
ChicagoParks,"Chicago, IL",1,Parks & Rec
sandiegoparks,"San Diego, CA",1,Parks & Rec
sjparksandrec,"San Jose, CA",1,Parks & Rec
AustinCityParks,"Austin, TX",1,Parks & Rec
RecParkSF,"San Francisco, CA",1,Parks & Rec
BostonParksDept,"Boston, MA",1,Parks & Rec
PhilaParkandRec,"Philadelphia, PA",0,Parks & Rec
HPARD,"Houston, TX",0,Parks & Rec
PhoenixParks,"Phoenix, AZ",0,Parks & Rec
SAParksandRec,"San Antonio, TX",0,Parks & Rec
DallasParkRec,"Dallas, TX",0,Parks & Rec
,"Jacksonville, FL",0,Parks & Rec
FortWorthParks,"Fort Worth, TX",0,Parks & Rec
,"Charlotte, NC",0,Parks & Rec
CbusMetroParks,"Columbus, OH",0,Parks & Rec
IndyParksandRec,"Indianapolis, IN",0,Parks & Rec
HCIDLA,"Los Angeles, CA",1,Housing 
,"Seattle, WA",1,Housing 
,"Denver, CO",1,Housing 
NYCHA,"New York, NY",1,Housing 
ChicagoDOH,"Chicago, IL",1,Housing 
,"San Diego, CA",1,Housing 
sjcityhousing,"San Jose, CA",1,Housing 
Hacanet,"Austin, TX",1,Housing 
,"San Francisco, CA",1,Housing 
BHA_Boston,"Boston, MA",1,Housing 
PhilaHsgAuthPHA,"Philadelphia, PA",0,Housing 
HoustonHCDD,"Houston, TX",0,Housing 
PhoenixParks,"Phoenix, AZ",0,Housing 
,"San Antonio, TX",0,Housing 
,"Dallas, TX",0,Housing 
,"Jacksonville, FL",0,Housing 
